title,installs,realInstalls,score,ratings,reviews,price,free,currency,offersIAP,genre,contentRating,containsAds,released,lastUpdatedOn
Fairy Tales ~ Children’s Books,"1,000,000+",4409752,4.6211605,64930,4184,0,TRUE,USD,TRUE,Educational,Everyone,FALSE,5-Dec-14,8-Dec-22
Books for Kids Reading & Math,"1,000,000+",1262085,4.6605506,7225,140,0,TRUE,USD,TRUE,Education,Everyone,FALSE,18-Feb-15,12-Oct-23
ABCmouse – Kids Learning Games,"10,000,000+",21109502,3.8413875,92923,27850,0,TRUE,USD,TRUE,Education,Everyone,FALSE,6-Mar-14,16-Feb-24
Reading App for Kids Books,"100,000+",395358,4.69,2639,71,0,TRUE,USD,TRUE,Education,Everyone,FALSE,23-Jun-19,12-Oct-23
Khan Academy Kids: Learning!,"5,000,000+",6878048,4.621025,45084,5653,0,TRUE,USD,FALSE,Education,Everyone,FALSE,10-Jul-18,3-Mar-24
Reading Eggs - Learn to Read,"1,000,000+",3285942,4.0673075,6314,416,0,TRUE,USD,TRUE,Education,Everyone,FALSE,13-Aug-19,13-Mar-24
Kids Story Books: Truth&Tales,"50,000+",55537,4.6145835,487,13,0,TRUE,USD,TRUE,Educational,Everyone,FALSE,16-Apr-19,14-Mar-24
Lingokids - Play and Learn,"10,000,000+",48008628,4.3436832,173485,2541,0,TRUE,USD,TRUE,Education,Everyone,FALSE,10-Aug-15,22-Mar-24
Teach Monster: Reading for Fun,"100,000+",117196,4.11,280,35,0,TRUE,USD,FALSE,Educational,Everyone,FALSE,22-Mar-22,15-May-23
Bookful: Fun Books for Kids,"100,000+",300675,3.92,990,185,0,TRUE,USD,TRUE,Books & Reference,Everyone,FALSE,8-Mar-19,16-Nov-22
Adventure Academy,"1,000,000+",2945879,4.3545847,27678,8990,0,TRUE,USD,TRUE,Education,Everyone,FALSE,14-Dec-18,26-Feb-24
"Amazon Kids+: Books, Videos…","1,000,000+",3785088,3.9249563,8764,1887,0,TRUE,USD,FALSE,Parenting,Everyone,FALSE,30-Oct-19,25-Jan-24
Coloring Games: Color & Paint,"100,000,000+",119086927,4.1293373,76188,714,0,TRUE,USD,FALSE,Educational,Everyone,FALSE,6-Nov-19,19-Mar-24
Google Play Books & Audiobooks,"1,000,000,000+",3516081788,4.6502724,2505970,76205,0,TRUE,USD,TRUE,Books & Reference,Teen,FALSE,6-Dec-10,18-Mar-24
Amazon Kindle,"100,000,000+",439025891,4.721834,3628661,163172,0,TRUE,USD,TRUE,Books & Reference,Teen,TRUE,28-Jun-10,19-Mar-24
Audible: Audio Entertainment,"100,000,000+",226553360,4.595897,1567195,238628,0,TRUE,USD,TRUE,Books & Reference,Teen,TRUE,12-Aug-10,22-Mar-24
Pocket FM: Audio Series,"100,000,000+",121441779,4.5681252,2994315,21179,0,TRUE,USD,TRUE,Music & Audio,Teen,TRUE,25-Feb-21,21-Mar-24
Wattpad - Read & Write Stories,"100,000,000+",272150709,4.1215534,4820003,215425,0,TRUE,USD,TRUE,Books & Reference,Teen,TRUE,,20-Mar-24
ReadEra – book reader pdf epub,"10,000,000+",38756823,4.8296165,1182801,15253,0,TRUE,USD,FALSE,Books & Reference,Everyone,FALSE,31-Mar-17,14-Mar-24
Everand: Ebooks and audiobooks,"10,000,000+",44662911,4.5147686,609974,35464,0,TRUE,USD,TRUE,Books & Reference,Teen,FALSE,17-Feb-12,1-Mar-24
hoopla Digital,"1,000,000+",4146722,4.709173,171010,68166,0,TRUE,USD,FALSE,Books & Reference,Teen,FALSE,25-May-13,14-Feb-24
"Libby, by OverDrive","10,000,000+",12215622,4.8078656,340340,45737,0,TRUE,USD,FALSE,Books & Reference,Teen,FALSE,17-Jan-17,29-Feb-24
Dreame,"10,000,000+",30694417,4.2736335,1085488,76525,0,TRUE,USD,TRUE,Books & Reference,Mature 17+,FALSE,9-Aug-18,22-Mar-24
CBeebies Storytime: Read,"1,000,000+",1873348,4.275938,9274,1508,0,TRUE,GBP,FALSE,Educational,PEGI 3,FALSE,31-Jul-14,7-Mar-24
CBeebies Playtime Island: Game,"1,000,000+",2114317,4.2680607,10491,2445,0,TRUE,GBP,FALSE,Adventure,PEGI 3,FALSE,11-Sep-16,25-Mar-24
Bedtime Stories for Kids,"1,000,000+",3596535,4.18,16273,52,0,TRUE,GBP,TRUE,Education,PEGI 3,TRUE,9-Apr-18,15-Mar-24
Bebi: Baby Games for Preschool,"10,000,000+",30292695,4.507874,223186,8064,0,TRUE,GBP,TRUE,Educational,PEGI 3,FALSE,17-Jul-19,13-Mar-24
Colorfy: Coloring Book Games,"50,000,000+",77651483,3.7445707,878628,7401,0,TRUE,GBP,TRUE,Entertainment,PEGI 3,TRUE,15-Jul-15,11-Mar-24
Miraj Muslim Kids Books Games,"50,000+",97064,4.34,696,82,0,TRUE,GBP,TRUE,Books & Reference,PEGI 3,FALSE,11-Apr-18,10-Dec-23
Your Story Wizard- Reading App,"100,000+",101346,3.7954545,44,0,0,TRUE,GBP,TRUE,Education,PEGI 3,FALSE,17-Jul-22,5-Dec-23
Bookly: Book & Reading Tracker,"100,000+",329066,4.23,5231,141,0,TRUE,GBP,TRUE,Books & Reference,PEGI 3,TRUE,7-Dec-18,3-Mar-24
ReadingIQ,"100,000+",386272,3.6666667,1355,3,0,TRUE,GBP,TRUE,Education,PEGI 3,FALSE,14-Nov-18,19-Oct-23
Deepstash: Smarter Every Day!,"1,000,000+",2905357,4.2336955,90999,522,0,TRUE,GBP,TRUE,Education,PEGI 3,TRUE,16-Apr-19,21-Mar-24
Blinkist: Book Summaries Daily,"10,000,000+",12217469,4.4593697,123132,1855,0,TRUE,GBP,TRUE,Education,PEGI 3,FALSE,29-Aug-14,18-Mar-24
Minecraft,"50,000,000+",53673580,4.4321947,4995286,91937,6.99,FALSE,GBP,TRUE,Arcade,PEGI 7,FALSE,15-Aug-11,18-Mar-24
Hill Climb Racing 2,"100,000,000+",339486726,4.452014,4603274,21214,0,TRUE,GBP,TRUE,Racing,PEGI 3,TRUE,27-Nov-16,22-Mar-24
Story Books For Kids & Parents,"1,000,000+",1219176,3.82,7406,95,0,TRUE,GBP,FALSE,Educational,PEGI 3,TRUE,1-Nov-13,22-Sep-23
bekids Reading: Oxford English,"10,000+",34233,0,0,0,0,TRUE,GBP,TRUE,Education,PEGI 3,FALSE,27-Sep-22,15-Mar-24
Games for kids 3 years old,"1,000,000+",4335412,4.09375,3326,11,0,TRUE,GBP,TRUE,Educational,PEGI 3,FALSE,20-Jan-19,20-Oct-22
Evidence 111 - Audio Game,"10,000+",16349,4.571429,198,5,0,TRUE,GBP,TRUE,Adventure,PEGI 7,FALSE,6-Nov-22,30-Oct-23
Goodreads,"10,000,000+",24965793,3.081967,141118,2168,0,TRUE,GBP,FALSE,Books & Reference,Parental guidance,TRUE,29-Apr-11,4-Mar-24
"Inkitt: Books, Novels, Stories","1,000,000+",4445898,4.4071426,75966,708,0,TRUE,GBP,FALSE,Books & Reference,Parental guidance,FALSE,7-Jan-17,14-Mar-24
Kobo Books - eBooks Audiobooks,"10,000,000+",26302004,3.9472318,284667,9067,0,TRUE,GBP,TRUE,Books & Reference,Parental guidance,FALSE,15-Jun-10,19-Mar-24
AlphaNovel — Books & Comics,"500,000+",806284,4.5466666,34813,122,0,TRUE,GBP,TRUE,Books & Reference,PEGI 16,TRUE,14-Jan-22,13-Mar-24
YouVersion Bible App + Audio,"100,000,000+",226717393,4.9079146,6884553,39480,0,TRUE,GBP,FALSE,Books & Reference,Parental guidance,FALSE,,15-Mar-24
Read with Phonics - Games,"100,000+",211134,3.8781164,361,0,0,TRUE,ILS,TRUE,Educational,PEGI 3,FALSE,15-Feb-16,6-Sep-23
"Smart Tales: Play, Learn, Grow","50,000+",98984,4.4130983,397,0,0,TRUE,ILS,TRUE,Education,PEGI 3,FALSE,21-Feb-20,22-Feb-24
Books of Wonder Hidden Objects,"1,000,000+",1363714,4.625,11720,5,0,TRUE,ILS,TRUE,Adventure,PEGI 3,TRUE,25-Dec-20,16-Jan-24
Hopster: ABC Games for Kids,"500,000+",723422,0,0,0,0,TRUE,ILS,TRUE,Entertainment,PEGI 3,FALSE,26-Oct-15,20-Mar-24
Pre-k Preschool Games For Kids,"50,000+",51566,4.418803,351,0,0,TRUE,ILS,TRUE,Educational,PEGI 3,FALSE,21-Dec-20,12-Mar-24
